# shape systematics for v25 ntuples
# second column has shortcuts for filenames
nominal									nominal
JET_CategoryReduction_JET_Pileup_RhoTopology__1up			JET_PU_Rho_u
JET_CategoryReduction_JET_PunchThrough_MC16__1down			JET_PT_MC16_d
JET_CategoryReduction_JET_PunchThrough_MC16__1up			JET_PT_MC16_u
JET_CategoryReduction_JET_SingleParticle_HighPt__1down			JET_SP_HPt_d
JET_CategoryReduction_JET_SingleParticle_HighPt__1up			JET_SP_HPt_u
MET_SoftTrk_ResoPara							MET_STrk_RPa
MET_SoftTrk_ResoPerp							MET_STrk_RPe
MET_SoftTrk_ScaleDown							MET_STrk_SD
MET_SoftTrk_ScaleUp							MET_STrk_SU
MUON_ID__1down								MU_ID_d
MUON_ID__1up								MU_ID_u
MUON_MS__1down								MU_MS_d
MUON_MS__1up								MU_MS_u
MUON_SAGITTA_RESBIAS__1down						MU_SAG_RB_d
MUON_SAGITTA_RESBIAS__1up						MU_SAG_RB_u
MUON_SAGITTA_RHO__1down							MU_SAG_RHO_d
MUON_SAGITTA_RHO__1up							MU_SAG_RHO_u
MUON_SCALE__1down							MU_SCALE_d
MUON_SCALE__1up								MU_SCALE_u
